domain,describe,filename,alias,explicit,category,course,date,reveal,is4download,footnote
IPR,IN_1農業創新管理,2025IPR_inn_man_g86,pdf,g_handout,innovation,management,,all,FALSE,actual data
farm,IN_2擬產銷之產品的市場探索與規劃,2025far_mar_man_g87,pdf,g_handout,marketing,management,,all,FALSE,actual data
financial,IN_3創業財務規劃與資金籌措,2025fin_fin_man_g88,pdf,g_handout,financial,management,,all,FALSE,actual data
farm,IN_4農地取得及人力資源運用,2025far_est_man_g89,pdf,g_handout,estate,management,,all,FALSE,actual data
farm,IN_5可運用之農業政策措施資源,2025far_fin_man_g90,pdf,g_handout,financial,management,,all,FALSE,actual data
law,農會採購實務,2023law_pro_far_g85,pdf,g_handout,procurement,farmlaw,,all,FALSE,actual data
farm,智慧農業與小農青農省工引言,2025far_HRM_man_h31,pdf,h_opinion,HRM,management,,all,FALSE,actual data
farm,農業缺工與其因應策略與談,2025far_HRM_pol_h32,pdf,h_opinion,HRM,policy,,all,FALSE,actual data
farm,智慧農業與青農競爭力,2025far_inn_man_h33,pdf,h_opinion,innovation,management,,all,FALSE,actual data
farm,糧食安全與農地需求與談,2025far_str_pol_h34,pdf,h_opinion,strategy,policy,,all,FALSE,actual data
strategy,農政研究重要思維與認知,2025str_res_pol_g91,pdf,g_handout,research,policy,,all,FALSE,actual data
