knowledgeID,coauthor,year,title,book,collection,editor,part,volumn,issue,startpage,endpage,publisher,website,city,footnote
,,2025,IN_1農業創新管理,培訓課程_臺灣農業六級化的創新及創業,,,,,,,,,,,
,,2025,IN_2擬產銷之產品的市場探索與規劃,培訓課程_臺灣農業六級化的創新及創業,,,,,,,,,,,
,,2025,IN_3創業財務規劃與資金籌措,培訓課程_臺灣農業六級化的創新及創業,,,,,,,,,,,
,,2025,IN_4農地取得及人力資源運用,培訓課程_臺灣農業六級化的創新及創業,,,,,,,,,,,
,,2025,IN_5可運用之農業政策措施資源,培訓課程_臺灣農業六級化的創新及創業,,,,,,,,,,,
,,2023,農會採購實務,112年雲林縣各級農會會務及會計業務講習,,,,,,,,,,,
,,2025,智慧農業與小農青農省工引言,智慧農業如何幫助小農青農省工省力與提升經營效益座談會,,,,,,,,,,,
,,2025,農業缺工與其因應策略與談,紀念李登輝先生農業政策研討會,,,,,,,,,,,
,,2025,智慧農業與青農競爭力,新農業創造草莓產業新故鄉論壇,,,,,,,,,,,
,,2025,糧食安全與農地需求與談,糧食安全與農地需求座談會,,,,,,,,,,,
,,2025,農政研究重要思維與認知,農業政策研究講習,,,,,,,,,,,
